algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed,ratio
ACTAR,ACTAR,844,964,9470,300,20579,85522,0.759371857533734,0.24062814246626596,0.8995888702400566,0.8267890039164577,0.0007695040069889494,27431.04540654699,1.6810982048574445,2.6298745830609604,1.6499853717875677,3004,16602,15,0,0,36695000,9470,48,0.3
TFSM_DPC,TFSM_DPC,686,1172,7550,300,20639,83210,0.7519649080639347,0.24803509193606532,0.9100381966086526,0.8292901408007455,0.0007986541942932646,33150.198675496686,1.945430463576159,3.5469661253528577,1.777133176711256,2323,15965,25,0,0,36010200,7550,48,0.3
DST_WOA,DST_WOA,656,1547,8661,806,21262,90417,0.7648451065618191,0.23515489343818086,0.9221603643988142,0.8555232535525049,0.0007226517834085846,31938.575222260708,1.6082438517492206,4.446347611900088,1.2442773479864073,2317,12092,25,0,0,38976600,8661,48,0.3
TRAIL,TRAIL,789,970,11288,920,18661,87272,0.7861742597854983,0.21382574021450174,0.9404905918875982,0.8872834188020151,0.0007283623770584941,24312.898653437278,1.6178242381289865,3.356856940432564,1.200128259317019,3114,8151,30,0,0,38580600,11288,48,0.3
SHEER,SHEER,1292,1306,10544,300,21492,87678,0.754875795524533,0.245124204475467,0.8955519294110537,0.8250830186979898,0.0007550799586398409,25108.497723823977,1.6909142640364188,2.5981827850639507,1.0,3290,13570,21,0,0,38076000,10544,49,0.3
ACTAR,ACTAR,813,986,5910,300,21057,87029,0.7580461685185398,0.2419538314814602,0.8886952040259504,0.8296414561523758,0.0007574122345944209,44651.09983079526,2.0864636209813874,3.758351267082234,1.6369823561510943,2025,16024,18,0,0,36884400,5910,49,0.3
TFSM_DPC,TFSM_DPC,692,1190,7964,300,19810,82295,0.7592806367337019,0.24071936326629806,0.9082819876770425,0.8392073575570564,0.0007939354721873729,31383.726770467103,1.9030637870416875,3.2534204279026575,1.7611266704008963,2549,14270,23,0,0,35471400,7964,49,0.3
DST_WOA,DST_WOA,693,1489,9715,306,20682,90120,0.7705059920106525,0.2294940079893475,0.9255450905844063,0.8642762699107699,0.0007197324592893174,28590.015440041174,1.5522388059701493,3.9509023846285825,1.2382845128027882,2537,11184,25,0,0,38725800,9715,49,0.3
TRAIL,TRAIL,625,977,12846,953,18802,87705,0.7856222564277977,0.2143777435722023,0.9413668490486626,0.8884114772169351,0.0007253357526909831,21455.083294410713,1.53938969328974,3.086106882733322,1.184549293934952,3523,8111,30,0,0,38581200,12846,49,0.3
SHEER,SHEER,1290,1308,7350,300,21998,88232,0.7506800253876145,0.24931997461238553,0.8938158649636139,0.8229939025970449,0.0007544724960878084,36045.71428571428,1.969795918367347,3.616459507612567,1.0,2320,13850,22,0,0,38196600,7350,50,0.3
ACTAR,ACTAR,826,975,7771,300,20385,85264,0.7609190279602177,0.2390809720397823,0.899489819510165,0.8275579128586948,0.0007702983657386427,33395.44460172436,1.823960880195599,2.8394192025964013,1.6433977095824535,2594,16513,16,0,0,36710200,7771,50,0.3
TFSM_DPC,TFSM_DPC,616,1133,7216,300,19871,82148,0.7581073184983201,0.24189268150167986,0.9160524752316265,0.8403927055479747,0.0008023980062574454,34521.61862527716,1.936529933481153,3.6928297605616,1.751433113348427,2117,13527,24,0,0,35678600,7216,50,0.3
DST_WOA,DST_WOA,683,1485,6549,312,22047,89852,0.7546298357298669,0.24537016427013314,0.9128530344369884,0.842094052536788,0.0007369268346675746,41413.95632921057,1.8121850664223547,5.400076347533965,1.2259420396725904,1651,13193,24,0,0,38341000,6549,50,0.3
TRAIL,TRAIL,581,958,11517,899,18291,86227,0.7878738678140258,0.2121261321859742,0.939119170984456,0.89092669945803,0.0007356077787754816,23595.033428844315,1.5922549274984805,3.2923143447255248,1.1949187470560527,3166,7806,30,0,0,38178400,11517,50,0.3
SHEER,SHEER,1341,1356,11602,300,21188,86312,0.7545184910557049,0.2454815089442951,0.8961058903015785,0.8298756743513122,0.0007672607929905518,22452.68057231512,1.633252887433201,2.5759402114577945,1.0,3567,12935,24,0,0,38304000,11602,51,0.3
ACTAR,ACTAR,830,945,7839,300,20550,84012,0.7553920868447365,0.24460791315526353,0.8945668273927705,0.8225465787137828,0.0007873948655894051,32382.70187523919,1.8384998086490625,2.752938000823573,1.6449213702688223,2605,16968,15,0,0,36437800,7839,51,0.3
